oldGroups,Phylum,Class,Order,Family,Genus
Ruminococcus2.2,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Ruminococcus2.3,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.3,Lachnospiraceae.2
Saccharofermentans,Bacteria,Firmicutes,Firmicutes.1,Ruminococcaceae.1,Saccharofermentans
Senegalimassilia anaerobia,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Coriobacteriaceae.1
Sneathia,Bacteria,Fusobacteriales,Fusobacteriales,Leptotrichiaceae,Leptotrichiaceae
Sneathia sanguinegens,Bacteria,Fusobacteriales,Fusobacteriales,Leptotrichiaceae,Leptotrichiaceae
Sneathia sanguinegens.1,Bacteria,Fusobacteriales,Fusobacteriales,Leptotrichiaceae,Leptotrichiaceae
Staphylococcus argenteus/arlet et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Streptococcus,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Streptococcus agalactiae/dysga et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Streptococcus anginosus/miller et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Streptococcus australis/dentis et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Streptococcus australis/mitis/ et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Streptococcus salivarius/vesti et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Streptococcus
Succiniclasticum,Bacteria,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcaceae
Succinivibrio,Bacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Succinivibrio
Sutterella,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Sutterella stercoricanis,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Sutterella wadsworthensis,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Sutterella wadsworthensis.1,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Sutterella.1,Bacteria,Proteobacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria
Varibaculum,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Varibaculum cambriense,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinobacteria.1,Actinomycetales.1
Veillonella atypica/dispar,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae.1
Veillonella dispar/parvula,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae.1
Veillonella parvula/rogosae/to et al.,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae.1
Veillonellaceae,Bacteria,Firmicutes,Selenomonadales,Veillonellaceae,Veillonellaceae
